"","ActiveScreener.Id","Time.of.Screening","Title","Authors","Question","List.of.Reviewers","answers"
"2638","7361643","05/20/2021 01:04:32","Air pollution and hospitalization for headache in Chile","Dales, R. E., Cakmak, S., Vidal, C. B. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2639","7361642","06/05/2021 15:16:58","Depletion of the ozone column over the Andes Mountains of South America","Da Silva, L. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2640","7361641","07/11/2021 16:01:37","Simulation of pollutant trajectories in natural and anthropogenic events","Da Silva, C. M., Tsuruta, F., Rodrigues, J. C.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2641","7361640","05/07/2021 00:30:47","On-road traffic emissions in a megacity","D'Angiola, A., Dawidowski, L. E., Gómez, D. R.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2642","7361638","07/23/2021 14:41:48","Observations of the Variation in Aerosol and Cloud Microphysics along the 20 degrees S Transect on 13 November 2008 during VOCALS-REx","Cui, Z. Q., Gadian, A., Blyth, A.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2643","7361637","05/06/2021 16:21:24","Modeling study of biomass burning plumes and their impact on urban air quality; a case study of Santiago de Chile","Cuchiara, G. C., Rappenglück, B., Rubio, M. A.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2644","7361636","06/25/2021 11:46:59","Arbolado urbano, calidad del aire y afecciones respiratorias en seis comunas de la provincia de Santiago, Chile","Criollo C, C., Assar C, R., Cáceres L, D.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2645","7361634","05/11/2021 20:47:36","Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile","Corvalán, R. M., Urrutia, C. M. ","04 Study characteristics","Sanchez, Luis","Managment"
"2646","7361634","05/11/2021 20:47:36","Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile","Corvalán, R. M., Urrutia, C. M. ","04 Study characteristics","Sanchez, Luis","economic"
"2647","7361634","05/11/2021 20:47:36","Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile","Corvalán, R. M., Urrutia, C. M. ","04 Study characteristics","Sanchez, Luis","legal"
"2648","7361634","05/11/2021 20:47:36","Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile","Corvalán, R. M., Urrutia, C. M. ","04 Study characteristics","Sanchez, Luis","social"
"2649","7361634","05/11/2021 20:47:36","Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile","Corvalán, R. M., Urrutia, C. M. ","04 Study characteristics","Sanchez, Luis","Laboratory"
"2650","7361631","05/10/2021 23:45:45","Hot emission model for mobile sources: Application to the metropolitan region of the city of santiago, chile","Corvalán, R. M., Osses, M. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2651","7361630","06/30/2021 12:58:24","Effectiveness in the use of natural gas for the reduction of atmospheric emissions: Case study—industrial sector in the metropolitan region of santiago, chile","Corvalán, R. M., Galecio, J. I., Salim, J. A. ","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2652","7361629","05/12/2021 01:45:02","Estimating traffic emissions using demographic and socio-economic variables in 18 Chilean urban areas","Corvalan, R. A., Osses, M., Urrutia, C. M.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2653","7361628","05/14/2021 12:28:09","A Positive Relationship between Exposure to Heavy Metals and Development of Chronic Diseases: A Case Study from Chile","Cortes, S., Zuniga-Venegas, L., Pancetti, F.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2654","7361627","06/02/2021 19:19:12","Investigation of air pollution in Chile using biomonitors","Cortés, E. ","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2655","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","Indoor (eg indoor"
"2656","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","work environments)"
"2657","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","Managment"
"2658","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","economic"
"2659","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","legal"
"2660","7361626","06/30/2021 19:00:10","Residential energy efficiency in Chile: Policies to reduce firewood dependency","Cortes, A., Rismanchi, B. ","04 Study characteristics","Sanchez, Luis","social"
"2661","7361625","04/26/2021 16:50:32","An unaccounted for N2O sink in the surface water of the eastern subtropical South Pacific: Physical versus biological mechanisms","Cornejo, M., Murillo, A. A., Farías, L. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2662","7361624","05/10/2021 20:50:47","Tradable permits in developing countries: Evidence from air pollution in chile","Coria, J., Sterner, T. ","04 Study characteristics","Sanchez, Luis","Managment"
"2663","7361624","05/10/2021 20:50:47","Tradable permits in developing countries: Evidence from air pollution in chile","Coria, J., Sterner, T. ","04 Study characteristics","Sanchez, Luis","economic"
"2664","7361624","05/10/2021 20:50:47","Tradable permits in developing countries: Evidence from air pollution in chile","Coria, J., Sterner, T. ","04 Study characteristics","Sanchez, Luis","legal"
"2665","7361624","05/10/2021 20:50:47","Tradable permits in developing countries: Evidence from air pollution in chile","Coria, J., Sterner, T. ","04 Study characteristics","Sanchez, Luis","social"
"2666","7361623","05/18/2021 23:47:14","To trade or not to trade: Firm-level analysis of emissions trading in Santiago, Chile","Coria, J., Löfgren, Å, Sterner, T. ","04 Study characteristics","Sanchez, Luis","Managment"
"2667","7361623","05/18/2021 23:47:14","To trade or not to trade: Firm-level analysis of emissions trading in Santiago, Chile","Coria, J., Löfgren, Å, Sterner, T. ","04 Study characteristics","Sanchez, Luis","economic"
"2668","7361623","05/18/2021 23:47:14","To trade or not to trade: Firm-level analysis of emissions trading in Santiago, Chile","Coria, J., Löfgren, Å, Sterner, T. ","04 Study characteristics","Sanchez, Luis","legal"
"2669","7361623","05/18/2021 23:47:14","To trade or not to trade: Firm-level analysis of emissions trading in Santiago, Chile","Coria, J., Löfgren, Å, Sterner, T. ","04 Study characteristics","Sanchez, Luis","social"
"2670","7361622","05/21/2021 02:06:41","Characterization, mapping, and mitigation of mercury vapour emissions from artisanal mining gold shops","Cordy, P., Veiga, M., Crawford, B.  et al.","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2671","7361621","05/25/2021 20:00:31","Carbon dioxide emissions at local scale linked to soil heterotrophic activity from an experimentally simulated drained peatland in Western Patagonia (Tierra del Fuego, Chile)","Cordova, C., Garrido-Ruiz, C., Machuca, A.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2672","7361620","05/13/2021 19:33:17","On the transport of urban pollution in an Andean mountain valley","Cordova, A. M., Arévalo, J., Marín, J. C.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2673","7361619","04/29/2021 17:09:56","Aerosol effects on the UV irradiance in Santiago de Chile","Cordero, R. R., Seckmeyer, G., Damiani, A.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2674","7361617","06/10/2021 18:15:08","Firewood certification in Chile: Equity in an innovative form of alternative trade","Conway, F. ","04 Study characteristics","Sanchez, Luis","Managment"
"2675","7361617","06/10/2021 18:15:08","Firewood certification in Chile: Equity in an innovative form of alternative trade","Conway, F. ","04 Study characteristics","Sanchez, Luis","economic"
"2676","7361617","06/10/2021 18:15:08","Firewood certification in Chile: Equity in an innovative form of alternative trade","Conway, F. ","04 Study characteristics","Sanchez, Luis","legal"
"2677","7361617","06/10/2021 18:15:08","Firewood certification in Chile: Equity in an innovative form of alternative trade","Conway, F. ","04 Study characteristics","Sanchez, Luis","social"
"2678","7361616","07/13/2021 18:51:23","Certification and the State: Market-Driven Governance and Regulation in a Chilean Firewood Program","Conway, F. ","04 Study characteristics","Manzano, Carlos","Managment"
"2679","7361616","07/13/2021 18:51:23","Certification and the State: Market-Driven Governance and Regulation in a Chilean Firewood Program","Conway, F. ","04 Study characteristics","Manzano, Carlos","economic"
"2680","7361616","07/13/2021 18:51:23","Certification and the State: Market-Driven Governance and Regulation in a Chilean Firewood Program","Conway, F. ","04 Study characteristics","Manzano, Carlos","legal"
"2681","7361616","07/13/2021 18:51:23","Certification and the State: Market-Driven Governance and Regulation in a Chilean Firewood Program","Conway, F. ","04 Study characteristics","Manzano, Carlos","social"
"2682","7361614","05/10/2021 23:10:30","Legacy and current-use pesticides (CUPs) in the atmosphere of a rural area in central Chile, using passive air samplers","Climent, M. J., Coscollà, C., López, A.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2683","7361613","05/13/2021 19:12:23","Network analysis: a novel approach to identify PM2.5 hotspots and their spatio-temporal impact on air quality in Santiago de Chile","Clements, A., Herrera, R., Hurn, S. ","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2684","7361612","05/30/2021 22:57:27","Structured expert judgment to characterize uncertainty between PM 2.5 exposure and mortality in Chile","Cisternas, P. C., Bronfman, N. C., Jimenez, R. B.  et al.","04 Study characteristics","Manzano, Carlos","Managment"
"2685","7361612","05/30/2021 22:57:27","Structured expert judgment to characterize uncertainty between PM 2.5 exposure and mortality in Chile","Cisternas, P. C., Bronfman, N. C., Jimenez, R. B.  et al.","04 Study characteristics","Manzano, Carlos","economic"
"2686","7361612","05/30/2021 22:57:27","Structured expert judgment to characterize uncertainty between PM 2.5 exposure and mortality in Chile","Cisternas, P. C., Bronfman, N. C., Jimenez, R. B.  et al.","04 Study characteristics","Manzano, Carlos","legal"
"2687","7361612","05/30/2021 22:57:27","Structured expert judgment to characterize uncertainty between PM 2.5 exposure and mortality in Chile","Cisternas, P. C., Bronfman, N. C., Jimenez, R. B.  et al.","04 Study characteristics","Manzano, Carlos","social"
"2688","7361611","05/11/2021 23:07:04","Effect of the fine fraction of particulate matter versus the coarse mass and other pollutants on daily mortality in Santiago, Chile","Cifuentes, L. A., Vega, J., Kopfer, K.  et al.","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2689","7361610","05/18/2021 23:56:36","Assessing the health benefits of urban air pollution reductions associated with climate change mitigation (2000-2020): Santiago, Sao Paulo, Mexico City, and New York City","Cifuentes, L., Borja-Aburto, V. H., Gouveia, N.  et al.","04 Study characteristics","Sanchez, Luis","Managment"
"2690","7361610","05/18/2021 23:56:36","Assessing the health benefits of urban air pollution reductions associated with climate change mitigation (2000-2020): Santiago, Sao Paulo, Mexico City, and New York City","Cifuentes, L., Borja-Aburto, V. H., Gouveia, N.  et al.","04 Study characteristics","Sanchez, Luis","economic"
"2691","7361610","05/18/2021 23:56:36","Assessing the health benefits of urban air pollution reductions associated with climate change mitigation (2000-2020): Santiago, Sao Paulo, Mexico City, and New York City","Cifuentes, L., Borja-Aburto, V. H., Gouveia, N.  et al.","04 Study characteristics","Sanchez, Luis","legal"
"2692","7361610","05/18/2021 23:56:36","Assessing the health benefits of urban air pollution reductions associated with climate change mitigation (2000-2020): Santiago, Sao Paulo, Mexico City, and New York City","Cifuentes, L., Borja-Aburto, V. H., Gouveia, N.  et al.","04 Study characteristics","Sanchez, Luis","social"
"2693","7361609","04/30/2021 18:27:25","Is there an association between indoor allergens and the severity of atopic dermatitis?","Cid, B. J., Perez-Mateluna, G., Iturriaga, C.  et al.","04 Study characteristics","Manzano, Carlos","Indoor (eg indoor"
"2694","7361609","04/30/2021 18:27:25","Is there an association between indoor allergens and the severity of atopic dermatitis?","Cid, B. J., Perez-Mateluna, G., Iturriaga, C.  et al.","04 Study characteristics","Manzano, Carlos","work environments)"
"2695","7361608","06/10/2021 17:00:00","Environmental evidence of fossil fuel pollution in Laguna Chica de San Pedro lake sediments (Central Chile)","Chirinos, L., Rose, N. L., Urrutia, R.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2696","7361607","06/04/2021 12:44:24","Impact of the leakage of liquefied petroleum gas (LPG) on Santiago air quality","Chen, T. Y., Simpson, I. J., Blake, D. R.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2697","7361606","06/07/2021 17:23:35","Estimation of global vehicular methyl bromide emissions: Extrapolation from a case study in Santiago, Chile","Chen, T. Y., Blake, D. R., Lopez, J. P.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2698","7361605","05/13/2021 12:21:46","Source attribution of climatically important aerosol properties measured at Paposo (Chile) during VOCALS","Chand, D., Hegg, D. A., Wood, R.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2699","7361604","05/09/2021 21:54:19","Black carbon pollution in snow and its impact on albedo near the Chilean stations on the Antarctic peninsula: First results","Cereceda-Balic, F., Vidal, V., Ruggeri, M. F.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2700","7361603","06/22/2021 16:19:45","Impact of Santiago de Chile urban atmospheric pollution on anthropogenic trace elements enrichment in snow precipitation at Cerro Colorado, Central Andes","Cereceda-Balic, F., Palomo-Marin, M. R., Bernalte, E.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2701","7361602","06/17/2021 13:11:57","Obtaining polycyclic aromatic hydrocarbon concentration ratios and molecular markers for residential wood combustion: Temuco, a case study","Cereceda-Balic, F., Fadic, X., Llanos, A. L.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2702","7361600","06/20/2021 18:38:30","Hypothetical health and economic benefits associated with a reduction in air pollution in a Chilean city (Talca)","Cerda, A. A., García, L. Y. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2703","7361600","06/20/2021 18:38:30","Hypothetical health and economic benefits associated with a reduction in air pollution in a Chilean city (Talca)","Cerda, A. A., García, L. Y. ","04 Study characteristics","Manzano, Carlos","Managment"
"2704","7361600","06/20/2021 18:38:30","Hypothetical health and economic benefits associated with a reduction in air pollution in a Chilean city (Talca)","Cerda, A. A., García, L. Y. ","04 Study characteristics","Manzano, Carlos","economic"
"2705","7361600","06/20/2021 18:38:30","Hypothetical health and economic benefits associated with a reduction in air pollution in a Chilean city (Talca)","Cerda, A. A., García, L. Y. ","04 Study characteristics","Manzano, Carlos","legal"
"2706","7361600","06/20/2021 18:38:30","Hypothetical health and economic benefits associated with a reduction in air pollution in a Chilean city (Talca)","Cerda, A. A., García, L. Y. ","04 Study characteristics","Manzano, Carlos","social"
"2707","7361599","06/30/2021 19:10:12","Disposición a pagar por un mejoramiento en la calidad ambiental en el Gran Santiago, Chile","Cerda, Arcadio, Rojas, José, García, Leidy ","04 Study characteristics","Manzano, Carlos","Managment"
"2708","7361599","06/30/2021 19:10:12","Disposición a pagar por un mejoramiento en la calidad ambiental en el Gran Santiago, Chile","Cerda, Arcadio, Rojas, José, García, Leidy ","04 Study characteristics","Manzano, Carlos","economic"
"2709","7361599","06/30/2021 19:10:12","Disposición a pagar por un mejoramiento en la calidad ambiental en el Gran Santiago, Chile","Cerda, Arcadio, Rojas, José, García, Leidy ","04 Study characteristics","Manzano, Carlos","legal"
"2710","7361599","06/30/2021 19:10:12","Disposición a pagar por un mejoramiento en la calidad ambiental en el Gran Santiago, Chile","Cerda, Arcadio, Rojas, José, García, Leidy ","04 Study characteristics","Manzano, Carlos","social"
"2711","7361598","07/02/2021 15:06:21","Disposición a pagar para mejorar la calidad del aire en Talca, Chile: comparación entre usuarios y no usuarios de chimeneas a leña","Cerda, Arcadio, García, Leidy, Bahamondez, Alejandra  et al.","04 Study characteristics","Sanchez, Luis","Managment"
"2712","7361598","07/02/2021 15:06:21","Disposición a pagar para mejorar la calidad del aire en Talca, Chile: comparación entre usuarios y no usuarios de chimeneas a leña","Cerda, Arcadio, García, Leidy, Bahamondez, Alejandra  et al.","04 Study characteristics","Sanchez, Luis","economic"
"2713","7361598","07/02/2021 15:06:21","Disposición a pagar para mejorar la calidad del aire en Talca, Chile: comparación entre usuarios y no usuarios de chimeneas a leña","Cerda, Arcadio, García, Leidy, Bahamondez, Alejandra  et al.","04 Study characteristics","Sanchez, Luis","legal"
"2714","7361598","07/02/2021 15:06:21","Disposición a pagar para mejorar la calidad del aire en Talca, Chile: comparación entre usuarios y no usuarios de chimeneas a leña","Cerda, Arcadio, García, Leidy, Bahamondez, Alejandra  et al.","04 Study characteristics","Sanchez, Luis","social"
"2715","7361597","07/20/2021 14:17:01","Chemical characterization of the inhalable particulate matter in the city of Chillan, Chile","Celis, J. E., Morales, R., Zaror, C.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2716","7361597","07/20/2021 14:17:01","Chemical characterization of the inhalable particulate matter in the city of Chillan, Chile","Celis, J. E., Morales, R., Zaror, C.  et al.","04 Study characteristics","Manzano, Carlos","Laboratory"
"2717","7361596","05/02/2021 12:58:08","A study of the particulate matter PM10 composition in the atmosphere of Chillan, Chile","Celis, J. E., Morales, J. R., Zaror, C. A.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2718","7361595","06/02/2021 17:15:58","Air pollution in a middle-size city: The case of Chilian (Chile)","Celis, J. E., Morales, J. R., Zaror, C. A.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2719","7361594","05/12/2021 01:57:35","Analysis of aerosol particles and coarse particulate matter concentrations in Chillan, Chile, 2001-2003","Celis, J. E., Flocchini, R. G., Carvacho, O. F.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2720","7361593","04/29/2021 18:40:24","Occurrence of cocaine in the air of the World's cities. An emerging problem? A new tool to investigate the social incidence of drugs?","Cecinato, A., Balducci, C., Nervegna, G. ","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2721","7361592","06/20/2021 00:12:37","Función pulmonar en niños sanos de 7 y 8 años de las comunas de Cerro Navia y Los Andes expuestos a diferentes niveles de contaminación por MP10","Cebulj Navarrete, Daniel, Vildoso Castillo, Juan F., Quezada Donoso, Evelyn  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2722","7361591","06/29/2021 00:43:48","Polución por material particulado fino (PM 2,5) incrementa las hospitalizaciones por insuficiencia cardiaca","Castro, Pablo, Vera, Jeanette, Cifuentes, Luis  et al.","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2723","7361590","06/03/2021 17:00:09","Erythemal irradiance at the Magellan's region and Antarctic ozone hole 1999-2005","Casiccia, C., Zamorano, F., HernÁNdez, A. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2724","7361589","04/29/2021 20:15:31","Simultaneous measurements of ozone and ultraviolet radiation: Spring 2000, Punta Arenas, Chile","Casiccia, C., Kirchhoff, Vwjh, Torres, A. ","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2725","7361588","05/07/2021 00:39:22","Elemental composition of springtime aerosol in Chillan, Chile","Carvacho, O. F., Trzepla-Nabaglo, K., Ashbaugh, L. L.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2726","7361587","05/24/2021 16:41:44","Element distribution of some soils of continental Chile and the Antarctic peninsula. Projection to atmospheric pollution","Carrasco, M.A., Préndez, M. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2727","7361586","07/03/2021 17:18:49","Association between indoor pollution, respiratory symptoms and COPD in Santiago, Chile: PLATINO Study","Carlos Flores, B., María Teresa Solís, S., Antonia Fortt, Z.  et al.","04 Study characteristics","Manzano, Carlos","Indoor (eg indoor"
"2728","7361586","07/03/2021 17:18:49","Association between indoor pollution, respiratory symptoms and COPD in Santiago, Chile: PLATINO Study","Carlos Flores, B., María Teresa Solís, S., Antonia Fortt, Z.  et al.","04 Study characteristics","Manzano, Carlos","work environments)"
"2729","7361585","06/02/2021 18:43:40","Environmentally Adjusted Multifactor Productivity: Methodology and Empirical Results for OECD and G20 Countries","Cárdenas Rodríguez, M., Haš?i, I., Souchier, M. ","04 Study characteristics","Sanchez, Luis","Managment"
"2730","7361585","06/02/2021 18:43:40","Environmentally Adjusted Multifactor Productivity: Methodology and Empirical Results for OECD and G20 Countries","Cárdenas Rodríguez, M., Haš?i, I., Souchier, M. ","04 Study characteristics","Sanchez, Luis","economic"
"2731","7361585","06/02/2021 18:43:40","Environmentally Adjusted Multifactor Productivity: Methodology and Empirical Results for OECD and G20 Countries","Cárdenas Rodríguez, M., Haš?i, I., Souchier, M. ","04 Study characteristics","Sanchez, Luis","legal"
"2732","7361585","06/02/2021 18:43:40","Environmentally Adjusted Multifactor Productivity: Methodology and Empirical Results for OECD and G20 Countries","Cárdenas Rodríguez, M., Haš?i, I., Souchier, M. ","04 Study characteristics","Sanchez, Luis","social"
"2733","7361584","05/13/2021 21:25:41","Chemical characterization of submicron Aerosol particles in Santiago de Chile","Carbone, S., Saarikoski, S., Frey, A.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2734","7361583","05/13/2021 20:42:01","Advantages and challenges of the implementation of a low-cost particulate matter monitoring system as a decision-making tool","Caquilpán P, V., Aros G, G., Elgueta A, S.  et al.","04 Study characteristics","Sanchez, Luis","Managment"
"2735","7361583","05/13/2021 20:42:01","Advantages and challenges of the implementation of a low-cost particulate matter monitoring system as a decision-making tool","Caquilpán P, V., Aros G, G., Elgueta A, S.  et al.","04 Study characteristics","Sanchez, Luis","economic"
"2736","7361583","05/13/2021 20:42:01","Advantages and challenges of the implementation of a low-cost particulate matter monitoring system as a decision-making tool","Caquilpán P, V., Aros G, G., Elgueta A, S.  et al.","04 Study characteristics","Sanchez, Luis","legal"
"2737","7361583","05/13/2021 20:42:01","Advantages and challenges of the implementation of a low-cost particulate matter monitoring system as a decision-making tool","Caquilpán P, V., Aros G, G., Elgueta A, S.  et al.","04 Study characteristics","Sanchez, Luis","social"
"2738","7361583","05/13/2021 20:42:01","Advantages and challenges of the implementation of a low-cost particulate matter monitoring system as a decision-making tool","Caquilpán P, V., Aros G, G., Elgueta A, S.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2739","7361582","06/29/2021 20:45:44","The composition and distribution of the particulate matter in the Strait of Magellan (Chile) during the 1991 and 1995 Italian campaigns","Capello, M., Castellano, M., Cutroneo, L.  et al.","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2740","7361581","07/13/2021 18:47:55","Bacteriological quality of air in a ward for sterile pharmaceutical preparations","Caorsi, B., Sakurada, A., Ulloa, M. T.  et al.","04 Study characteristics","Manzano, Carlos","Indoor (eg indoor"
"2741","7361581","07/13/2021 18:47:55","Bacteriological quality of air in a ward for sterile pharmaceutical preparations","Caorsi, B., Sakurada, A., Ulloa, M. T.  et al.","04 Study characteristics","Manzano, Carlos","work environments)"
"2742","7361580","06/17/2021 15:14:02","A study of impacts of tropospheric synoptic processes on the genesis and evolution of extreme total ozone anomalies over southern South America","Canziani, P. O., Compagnucci, R. H., Bischoff, S. A.  et al.","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2743","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","Managment"
"2744","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","economic"
"2745","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","legal"
"2746","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","social"
"2747","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","Indoor (eg indoor"
"2748","7361579","05/26/2021 00:04:05","Health and Heating in the City of Temuco (Chile). Monetary Savings of Replacing Biomass with PV System in the Residential Sector","Cansino, J. M., Moreno, R., Quintana, D.  et al.","04 Study characteristics","Sanchez, Luis","work environments)"
"2749","7361578","06/07/2021 17:08:45","Permisos comerciables de emisión en Chile: Lecciones, desafíos y oportunidades para países en aesarrollo","Calfucura, E., Coria, J., Sánchez, J. M. ","04 Study characteristics","Sanchez, Luis","Managment"
"2750","7361578","06/07/2021 17:08:45","Permisos comerciables de emisión en Chile: Lecciones, desafíos y oportunidades para países en aesarrollo","Calfucura, E., Coria, J., Sánchez, J. M. ","04 Study characteristics","Sanchez, Luis","economic"
"2751","7361578","06/07/2021 17:08:45","Permisos comerciables de emisión en Chile: Lecciones, desafíos y oportunidades para países en aesarrollo","Calfucura, E., Coria, J., Sánchez, J. M. ","04 Study characteristics","Sanchez, Luis","legal"
"2752","7361578","06/07/2021 17:08:45","Permisos comerciables de emisión en Chile: Lecciones, desafíos y oportunidades para países en aesarrollo","Calfucura, E., Coria, J., Sánchez, J. M. ","04 Study characteristics","Sanchez, Luis","social"
"2753","7361577","05/13/2021 20:51:41","Reduced repressive epigenetic marks, increased DNA damage and Alzheimer's disease hallmarks in the brain of humans and mice exposed to particulate urban air pollution","Calderón-Garcidueñas, L., Herrera-Soto, A., Jury, N.  et al.","04 Study characteristics","Sanchez, Luis","Laboratory"
"2754","7361576","05/07/2021 14:26:17","Air pollution and hospitalization for epilepsy in Chile","Cakmak, S., Dales, R. E., Vidal, C. B. ","04 Study characteristics","Sanchez, Luis","Ambient (eg outdoor)"
"2755","7361575","05/13/2021 00:07:12","Air pollution and mortality in Chile: Susceptibility among the elderly","Cakmak, S., Dales, R. E., Vidal, C. B. ","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2756","7361574","05/19/2021 22:00:00","Components of Particulate Air Pollution and Emergency Department Visits in Chile","Cakmak, S., Dales, R. E., Gultekin, T.  et al.","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2757","7361572","04/28/2021 23:30:30","Components of Particulate Air Pollution and Mortality in Chile","Cakmak, S., Dales, R. E., Blanco, C. ","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
"2758","7361571","05/13/2021 23:25:16","The risk of dying on days of higher air pollution among the socially disadvantaged elderly","Cakmak, S., Dales, R. E., Angelica Rubio, M.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2759","7361570","05/12/2021 02:32:08","The association between air pollution and hospitalization for patients with systemic lupus erythematosus in Chile: A daily time series analysis","Cakmak, S., Blanco-Vidal, C., Lukina, A. O.  et al.","04 Study characteristics","Manzano, Carlos","Ambient (eg outdoor)"
"2760","7361569","05/07/2021 12:23:11","Comparative aerosol studies of Pacific Rim cities - Santiago, Chile (1987); Mexico City, Mexico (1987-1990); and Los Angeles, USA (1973 and 1987)","Cahill, T. A., Morales, R., Miranda, J. ","04 Study characteristics","Toro, Richard","Ambient (eg outdoor)"
